substance,interactant,niveau,description,conduite
ACIDE ACETYLSALICYLIQUE,DIURÉTIQUES,PE,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association.
ACIDE ACETYLSALICYLIQUE,GLUCOCORTICOÏDES (SAUF HYDROCORTISONE),APEC,Majoration du risque hémorragique.,ASDEC - APEC Association déconseillée avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) avec : - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour).
ACIDE ACETYLSALICYLIQUE,HÉPARINES (DOSES CURATIVES ET/OU SUJET ÂGÉ),APEC,Augmentation du risque hémorragique (inhibition de la fonction plaquettaire et agression de la muqueuse gastroduodénale par l'acide acétylsalicylique.,ASDEC - APEC Association déconseillée avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyrétique. avec : - des doses antiagrégantes (de 50 mg à 375 mg par jour).
ACIDE ACETYLSALICYLIQUE,HÉPARINES (DOSES PRÉVENTIVES),APEC,"L'utilisation conjointe de médicaments agissant à divers niveaux de l'hémostase majore le risque de saignement. Ainsi, chez le sujet de moins de 65 ans, l'association de l'héparine à doses préventives, ou de substances apparentées, à l'acide acétylsalicylique, quelle que soit la dose, doit être prise en compte en maintenant une surveillance clinique et éventuellement biologique.",
ACIDE ACETYLSALICYLIQUE,INHIBITEURS DE L'ENZYME DE CONVERSION,PE,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association.
ACIDE ACETYLSALICYLIQUE,NICORANDIL,AD,Majoration du risque ulcérogène et hémorragique digestif.,
ACIDE ACETYLSALICYLIQUE,PEMETREXED,PE,Risque de majoration de la toxicité du pemetrexed (diminution de sa clairance rénale par l'acide acétylsalicylique à doses anti- inflammatoires).,ASDEC - PE Association déconseillée : - en cas de fonction rénale faible à modérée . : - en cas de fonction rénale normale. Surveillance biologique de la fonction rénale.
ACIDE ACETYLSALICYLIQUE,PROBENECIDE,AD,Diminution de l'effet uricosurique par compétition de l'élimination de l'acide urique au niveau des tubules rénaux.,
ACIDE ACETYLSALICYLIQUE,TICAGRELOR,PE,Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.,ASDEC - PE Association déconseillée : - en dehors des indications validées pour cette association dans les syndromes coronariens aigus. : - dans les indications validées pour cette association dans les syndromes coronariens aigus. Surveillance clinique.
ACIDE ACETYLSALICYLIQUE,TICLOPIDINE,AD,Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.,"Si l'association ne peut être évitée, surveillance clinique étroite."
ACIDE ASCORBIQUE,CICLOSPORINE,APEC,"Risque de diminution des concentrations sanguines de la ciclosporine, notamment en cas d'association avec la vitamine E.",
ACIDE ASCORBIQUE,DÉFÉRIPRONE,PE,"Par extrapolation à partir de l'interaction avec la déféroxamine : avec l'acide ascorbique à fortes doses et par voie IV, risque d'anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë (en général réversible à l'arrêt de la vitamine C).",
ACIDE ASCORBIQUE,DÉFÉROXAMINE,PE,"Avec l'acide ascorbique à fortes doses et par voie IV : anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë (en général réversible à l'arrêt de la vitamine C).","En cas d'hémochromatose, ne donner de la vitamine C qu'après avoir commencé le traitement par la déféroxamine. Surveiller la fonction cardiaque en cas d'association."
ACIDE CHOLIQUE,"PHÉNOBARBITAL (ET, PAR EXTRAPOLATION, PRIMIDONE)",CI,Effet antagoniste du barbiturique.,
ACIDE CLODRONIQUE,ESTRAMUSTINE,PE,Risque d'augmentation des concentrations plasmatiques d'estramustine par le clodronate.,Surveillance clinique au cours de l'association.
ACIDE FOLINIQUE,"FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)",APEC,"Potentialisation des effets, à la fois cytostatiques et indésirables, du fluoro-uracile.",
ACIDE FUSIDIQUE,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),CI,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse.,Arrêter le traitement par l'inhibiteur de l'HMG Co-A réductase avant d'initier un traitement par acide fusidique ou utiliser un autre antibiotique.
ACIDE FUSIDIQUE,OMBITASVIR + PARITAPRÉVIR,CI,Augmentation des concentrations plasmatiques de l'acide fusidique par diminution de son métabolisme hépatique par la bithérapie.,
ACIDE NICOTINIQUE,ALCOOL (BOISSON OU EXCIPIENT),APEC,"Risque de prurit, de rougeur et de chaleur, lié à une potentialisation de l'effet vasodilatateur.",
ACIDE URSODESOXYCHOLIQUE,CICLOSPORINE,APEC,Risque de variation des concentrations sanguines de ciclosporine.,
ACITRETINE,ALCOOL (BOISSON OU EXCIPIENT),CI,"Chez la femme en âge de procréer, risque de transformation de l'acitrétine en étrétinate, puissant tératogène dont la demi-vie très prolongée (120 jours) expose à un risque tératogène majeur en cas de grossesse, pendant le traitement et les 2 mois suivant son arrêt.",
ACITRETINE,METHOTREXATE,CI,Risque de majoration de l'hépatotoxicité du méthotrexate.,
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),ANESTHÉSIQUES VOLATILS HALOGÉNÉS,PE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),ANTIDÉPRESSEURS IMIPRAMINIQUES,PE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),IMAO IRRÉVERSIBLES,PE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES,PE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
AFATINIB,AMIODARONE,PE,Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par l'amiodarone.,"Il est recommandé d'administrer l'amiodarone le plus à distance possible de l'afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d'afatinib."
AFATINIB,CICLOSPORINE,PE,Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par la ciclosporine.,"Il est recommandé d'administrer la ciclosporine le plus à distance possible de l'afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d'afatinib."
AFATINIB,ERYTHROMYCINE,PE,Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par l'érythromycine.,"Il est recommandé d'administrer l'érythromycine le plus à distance possible de l'afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d'afatinib."
AFATINIB,INDUCTEURS ENZYMATIQUES PUISSANTS,PE,Diminution des concentrations plasmatiques de l'afatinib par augmentation de son métabolisme par ces substances.,Surveillance clinique pendant l'association et 1 à 2 semaines après leur arrêt.
AFATINIB,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,PE,Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par l'inhibiteur de protéases.,"Il est recommandé d'administrer l'inhibiteur de protéases le plus à distance possible de l'afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d'afatinib."
AFATINIB,ITRACONAZOLE,PE,Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par l'itraconazole.,"Il est recommandé d'administrer l'itraconazole le plus à distance possible de l'afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d'afatinib."
AFATINIB,KETOCONAZOLE,PE,Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par le kétoconazole.,"Il est recommandé d'administrer le kétoconazole le plus à distance possible de l'afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d'afatinib."
AFATINIB,PRIMIDONE,PE,Diminution des concentrations plasmatiques de l'afatinib par augmentation de son métabolisme par la primidone.,Surveillance clinique pendant l'association et 1 à 2 semaines après leur arrêt.
AFATINIB,RIFAMPICINE,PE,Diminution des concentrations plasmatiques de l'afatinib par augmentation de son métabolisme par la rifampicine.,Surveillance clinique pendant l'association et 1 à 2 semaines après leur arrêt.
AFATINIB,VERAPAMIL,PE,Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par le vérapamil.,"Il est recommandé d'administrer le vérapamil le plus à distance possible de l'afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d'afatinib."
AGOMELATINE,CIPROFLOXACINE,AD,"Augmentation des concentrations d'agomélatine, avec risque de majoration des effets indésirables.",
AGOMELATINE,FLUVOXAMINE,CI,"Augmentation des concentrations d'agomélatine, avec risque de majoration des effets indésirables.",
ALBENDAZOLE,INDUCTEURS ENZYMATIQUES PUISSANTS,PE,"Diminution importante des concentrations plasmatiques de l'albendazole et de son métabolite actif par l'inducteur, avec risque de baisse de son efficacité.",Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et après son arrêt.
ALBENDAZOLE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,PE,"Diminution importante des concentrations plasmatiques de l'albendazole et de son métabolite actif par le ritonavir, avec risque de baisse de son efficacité.",Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et après son arrêt.
ALBENDAZOLE,RIFAMPICINE,PE,"Diminution importante des concentrations plasmatiques de l'albendazole et de son métabolite actif par l'inducteur, avec risque de baisse de son efficacité.",Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l'albendazole pendant le traitement avec l'inducteur enzymatique et après son arrêt.
ALCALINISANTS URINAIRES,HYDROQUINIDINE,PE,Augmentation des concentrations plasmatiques de l'hydroquinidine et risque de surdosage (diminution de l'excrétion rénale de l'hydroquinidine par alcalinisation des urines).,"Surveillance clinique, ECG et éventuellement contrôle des concentrations de l'hydroquinidine ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et après son arrêt."
ALCALINISANTS URINAIRES,QUINIDINE,PE,Augmentation des concentrations plasmatiques de la quinidine et risque de surdosage (diminution de l'excrétion rénale de la quinidine par alcalinisation des urines).,"Surveillance clinique, ECG et éventuellement contrôle de la quinidinémie ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et après son arrêt."
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,AD,Risque de vasoconstriction et/ou de poussées hypertensives.,
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,ANTIPARKINSONIENS ANTICHOLINERGIQUES,PE,Risque de majoration des troubles neuropsychiques.,"Surveillance clinique et biologique régulière, notamment en début d'association."
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,MACROLIDES (SAUF SPIRAMYCINE),AD,Augmentation des concentrations plasmatiques du dopaminergique avec accroissement possible de son activité ou apparition de signes de surdosage.,
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,SYMPATHOMIMÉTIQUES ALPHA (VOIES ORALE ET/OU NASALE),AD,Risque de vasoconstriction et/ou de poussées hypertensives.,
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,SYMPATHOMIMÉTIQUES INDIRECTS,AD,Risque de vasoconstriction et/ou de poussées hypertensives.,
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,AD,Risque de vasoconstriction et/ou de poussées hypertensives.,
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,INHIBITEURS PUISSANTS DU CYP3A4,CI,"Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.",
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,LÉTERMOVIR,CI,"Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.",
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,OMBITASVIR + PARITAPRÉVIR,CI,Augmentation des concentrations plasmatiques de l'alcaloïde de l'ergot de seigle vasoconstricteur par diminution de son métabolisme hépatique par la bithérapie.,
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,SYMPATHOMIMÉTIQUES ALPHA (VOIES ORALE ET/OU NASALE),AD,Risque de vasoconstriction et/ou de poussées hypertensives.,
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,SYMPATHOMIMÉTIQUES INDIRECTS,AD,Risque de vasoconstriction et/ou de poussées hypertensives.,
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,TRIPTANS,CI,"Risque d'hypertension artérielle, de vasoconstriction artérielle coronaire.","Respecter un délai de 6 à 24 heures, selon le triptan, entre la prise de celui-ci et celle de l'alcaloïde ergoté"
ALCOOL (BOISSON OU EXCIPIENT),ACIDE NICOTINIQUE,APEC,"Risque de prurit, de rougeur et de chaleur, lié à une potentialisation de l'effet vasodilatateur.",
ALCOOL (BOISSON OU EXCIPIENT),ACITRETINE,CI,"Chez la femme en âge de procréer, risque de transformation de l'acitrétine en étrétinate, puissant tératogène dont la demi-vie très prolongée (120 jours) expose à un risque tératogène majeur en cas de grossesse, pendant le traitement et les 2 mois suivant son arrêt.",
ALCOOL (BOISSON OU EXCIPIENT),ANTABUSE (RÉACTION),AD,"Effet antabuse (chaleur, rougeurs, vomissements, tachycardie).",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool. Tenir compte de l'élimination complète des médicaments en se référant à leur demi-vie avant la reprise de boissons alcoolisées ou du médicament contenant de l'alcool.
ALCOOL (BOISSON OU EXCIPIENT),IMAO IRRÉVERSIBLES,AD,"Majoration des effets hypertenseurs et/ou hyperthermiques de la tyramine présente dans certaines boissons alcoolisées (chianti, certaines bières, etc).",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.
ALCOOL (BOISSON OU EXCIPIENT),INSULINE,AD,Augmentation de la réaction hypoglycémique (inhibition des réactions de compensation pouvant faciliter la survenue de coma hypoglycémique).,Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.
ALCOOL (BOISSON OU EXCIPIENT),MÉDICAMENTS SÉDATIFS,AD,Majoration par l'alcool de l'effet sédatif de ces substances. L'altération de la vigilance peut rendre dangereuses la conduite de véhicules et l'utilisation de machines.,Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.
ALCOOL (BOISSON OU EXCIPIENT),METFORMINE,AD,"Risque majoré d'acidose lactique lors d'intoxication alcoolique aiguë, particulièrement en cas de jeûne ou dénutrition, ou bien d'insuffisance hépatocellulaire.",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.
ALCOOL (BOISSON OU EXCIPIENT),SULFAMIDES HYPOGLYCÉMIANTS,AD,"Effet antabuse, notamment pour glibenclamide, glipizide, tolbutamide. Augmentation de la réaction hypoglycémique (inhibition des réactions de compensation) pouvant faciliter la survenue de coma hypoglycémique.",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.
ALDESLEUKINE,PRODUITS DE CONTRASTE IODÉS,APEC,"Majoration du risque de réaction aux produits de contraste en cas de traitement antérieur par interleukine 2 : éruption cutanée ou plus rarement hypotension, oligurie voire insuffisance rénale.",
ALFENTANIL,CIMETIDINE,PE,Avec la cimétidine utilisée à des doses supérieures ou égales à 800 mg/j : augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.,Adapter la posologie de l'alfentanil en cas de traitement par la cimétidine.
ALFENTANIL,DILTIAZEM,PE,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.,Adapter la posologie de l'alfentanil en cas de traitement par le diltiazem.
ALFENTANIL,ERYTHROMYCINE,PE,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.,Adapter la posologie de l'alfentanil en cas de traitement par l'érythromycine.
ALFENTANIL,FLUCONAZOLE,PE,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.,Adapter la posologie de l'alfentanil en cas de traitement par le fluconazole.
ALFENTANIL,INHIBITEURS PUISSANTS DU CYP3A4,PE,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.,Surveillance clinique et adaptation de la posologie de l'analgésique opiacé en cas de traitement par un inhibiteur puissant du CYP3A4.
ALFUZOSINE,INHIBITEURS PUISSANTS DU CYP3A4,AD,Risque d'augmentation des concentrations plasmatiques de l'alfuzosine et de ses effets indésirables.,
ALFUZOSINE,OMBITASVIR + PARITAPRÉVIR,CI,Augmentation des concentrations plasmatiques de l'afuzosine par diminution de son métabolisme hépatique par la bithérapie.,
ALLOPURINOL,ANTIVITAMINES K,PE,Augmentation du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par l'allopurinol et 8 jours après son arrêt.
ALLOPURINOL,DIDANOSINE,AD,Augmentation des concentrations plasmatiques de didanosine et de ses effets indésirables.,
ALLOPURINOL,PÉNICILLINES A,APEC,Risque accru de réactions cutanées.,
ALLOPURINOL,VIDARABINE,AD,"Risque accru de troubles neurologiques (tremblements, confusion) par inhibition partielle du métabolisme de l'antiviral.",
ALPHABLOQUANTS À VISÉE UROLOGIQUE,ANTIHYPERTENSEURS ALPHA-BLOQUANTS,AD,Majoration de l'effet hypotenseur. Risque d'hypotension orthostatique sévère.,
ALPHABLOQUANTS À VISÉE UROLOGIQUE,ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS,APEC,Majoration de l'effet hypotenseur. Risque d'hypotension orthostatique majoré.,
ALPHABLOQUANTS À VISÉE UROLOGIQUE,INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,PE,"Risque d'hypotension orthostatique, notamment chez le sujet âgé.",ASDEC - PE Association déconseillée : - avec la doxazosine : - avec les autres alpha-bloquants Débuter le traitement aux posologies minimales recommandées et adapter progressivement les doses si besoin.
ALPRAZOLAM,INHIBITEURS PUISSANTS DU CYP3A4,APEC,Possible augmentation de l'effet sédatif de l'alprazolam.,
ALUMINIUM (SELS),CITRATES,PE,"Risque de facilitation du passage systémique de l'aluminium, notamment en cas de fonction rénale altérée.","Prendre les topiques gastro-intestinaux à base d'aluminium à distance des citrates (plus de 2 heures si possible), y compris les citrates naturels (jus d'agrumes)."
AMBRISENTAN,CICLOSPORINE,APEC,"Doublement des concentrations d'ambrisentan, avec majoration de l'effet vasodilatateur (céphalées).",
AMINOSIDES,AUTRES AMINOSIDES,APEC,Risque accru de néphrotoxicité et d'ototoxicité (l'ototoxicité est cumulative en cas d'administrations successives).,CI - APEC Contre-indication : - en cas d'administration simultanée : - en cas d'administrations successives
AMINOSIDES,AMPHOTERICINE B,APEC,Avec l'amphotéricine B administrée par voie IV : risque accru de néphrotoxicité.,
AMINOSIDES,ATALUREN,CI,Risque de potentialisation de la toxicité rénale de l'aminoside.,
AMINOSIDES,BOTULIQUE (TOXINE),AD,Risque d'augmentation des effets de la toxine botulique avec les aminosides (par extrapolation à partir des effets observés au cours du botulisme).,Utiliser un autre antibiotique.
AMINOSIDES,CEFALOTINE,PE,L'augmentation de la néphrotoxicité des aminosides par la céfalotine est discutée.,Surveillance de la fonction rénale.
AMINOSIDES,CICLOSPORINE,APEC,"Augmentation de la créatininémie plus importante que sous ciclosporine seule, avec majoration du risque néphrotoxique.",
AMINOSIDES,CURARES,PE,"Potentialisation des curares lorque l'antibiotique est administré par voie parentérale et/ou péritonéale avant, pendant ou après l'agent curarisant.",Surveiller le degré de curarisation en fin d'anesthésie.
AMINOSIDES,DIURÉTIQUES DE L'ANSE,PE,Augmentation des risques néphrotoxiques et ototoxiques de l'aminoside (insuffisance rénale fonctionnelle liée à la déshydratation entraînée par le diurétique).,"Association possible sous contrôle de l'état d'hydratation, des fonctions rénale et cochléovestibulaire, et éventuellement, des concentrations plasmatiques de l'aminoside."
AMINOSIDES,ORGANOPLATINES,APEC,"Addition des effets néphrotoxiques et/ou ototoxiques, notamment en cas d'insuffisance rénale préalable.",
AMINOSIDES,POLYMYXINE B,AD,Addition des effets néphrotoxiques.,"Si l'association ne peut être évitée, surveillance stricte avec une justification bactériologique indiscutable."
AMINOSIDES,TACROLIMUS,APEC,Augmentation de la créatininémie plus importante que sous tacrolimus seul (synergie des effets néphrotoxiques des deux substances).,
AMIODARONE,AFATINIB,PE,Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par l'amiodarone.,"Il est recommandé d'administrer l'amiodarone le plus à distance possible de l'afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d'afatinib."
